277. 	502800 	SENRAN KAGURA ESTIVAL VERSUS 	1,304 	58 	94.34% 	95.74%
278. 	4560 	Company of Heroes 	4,445 	230 	94.32% 	95.08%
279. 	589770 	Green Elephant 2D 	143 	2 	94.31% 	98.62%
280. 	251990 	Long Live The Queen 	5,266 	277 	94.31% 	95.00%
281. 	457210 	SEUM: Speedrunners from Hell 	486 	17 	94.30% 	96.62%
282. 	426690 	Narcissu 10th Anniversary Anthology Project 	169 	3 	94.29% 	98.26%
283. 	72850 	The Elder Scrolls V: Skyrim 	215,506 	12,785 	94.29% 	94.40%
284. 	94200 	Jamestown 	1,815 	86 	94.28% 	95.48%
285. 	13250 	Unreal Gold 	542 	20 	94.24% 	96.44%
286. 	220780 	Thomas Was Alone 	7,042 	385 	94.21% 	94.82%
287. 	411830 	SENRAN KAGURA SHINOVI VERSUS 	2,511 	126 	94.20% 	95.22%
288. 	214730 	Space Rangers HD: A War Apart 	2,470 	124 	94.19% 	95.22%
289. 	332200 	Axiom Verge 	2,235 	111 	94.19% 	95.27%
290. 	520010 	Climbey 	371 	12 	94.19% 	96.87%
291. 	252110 	Lovers in a Dangerous Spacetime 	1,100 	49 	94.19% 	95.74%
292. 	449960 	Book of Demons 	755 	31 	94.18% 	96.06%
293. 	450540 	Hot Dogs, Horseshoes & Hand Grenades 	909 	39 	94.18% 	95.89%
294. 	597700 	OVIVO 	81 	0 	94.16% 	100%
295. 	50130 	Mafia II 	24,083 	1,404 	94.16% 	94.49%
296. 	520440 	GUILTY GEAR Xrd -REVELATOR- 	1,017 	45 	94.15% 	95.76%
297. 	589590 	Kindergarten 	1,071 	48 	94.14% 	95.71%
298. 	2600 	Vampire: The Masquerade - Bloodlines 	4,681 	253 	94.12% 	94.87%
299. 	207170 	Legend of Grimrock 	4,051 	217 	94.11% 	94.92%
300. 	587650 	Half-Life 2: DownFall 	407 	14 	94.10% 	96.67%
301. 	47780 	Dead Space 2 	6,433 	358 	94.09% 	94.73%
302. 	359390 	Amnesia™: Memories 	1,283 	60 	94.09% 	95.53%
